file,track_name,start_lat,start_lon,start_alt,distance_km,begin_time,end_time,time_gap_hours,start_month,start_year
2670.kml,,30.978495,81.283061,4673.053219,0.6247264057228229,2024-06-28 17:42:12,2024-06-30 04:37:03,34.91,6,2024
2673.kml,,30.979497,81.280799,4670.845917,0.8451737038742194,2024-09-09 15:16:16,2024-09-10 06:39:38,15.39,9,2024
2675.kml,,30.975322,81.285667,4671.492306,0.19370425565394547,2024-10-18 15:04:09,2024-10-20 02:57:28,35.89,10,2024
2676.kml,,30.979952,81.279015,4364.600098,1.0003699320892006,2024-08-01 00:31:06,2024-08-02 05:38:25,29.12,8,2024
2680.kml,,30.978527,81.282278,4671.4,0.6717260694068323,,,,,
2682.kml,,30.97846,81.2827,4680.129883,0.6412837071518971,2024-06-02 17:56:24,2024-06-03 00:56:43,7.01,6,2024
2685.kml,,30.978451,81.282341,4684.0,0.661376519166412,2024-09-17 18:54:47,2024-09-19 08:28:24,37.56,9,2024
2686.kml,,30.978451,81.282341,4684.0,0.661376519166412,2024-09-17 18:54:47,2024-09-19 08:28:24,37.56,9,2024
2687.kml,,30.978451,81.282341,4684.0,0.661376519166412,2024-09-17 18:54:47,2024-09-19 08:28:24,37.56,9,2024
2693.kml,,30.970436,81.286449,4615.0,0.37660901307533495,1969-12-31 16:00:00,1969-12-31 16:00:00,0.0,12,1969
2694.kml,,30.970436,81.286449,4615.0,0.37660901307533495,1969-12-31 16:00:00,1969-12-31 16:00:00,0.0,12,1969
2704.kml,,30.9787581,81.282212,4648.34,0.6957921866511773,2024-10-01 18:42:56,2024-10-03 00:35:44,29.88,10,2024
2705.kml,,30.969922,81.286163,4649.345591,0.4359639221974283,2024-07-16 12:54:55,2024-07-17 05:00:23,16.09,7,2024
2708.kml,,30.978409,81.282692,4680.450195,0.6371826797420264,,,,,
2709.kml,,30.97665690350306,81.28716020165157,4685.0,0.31899496780237807,2023-10-06 12:51:33,2023-10-07 01:59:27,13.13,10,2023
2710.kml,,30.9776159,81.2858712,4652.38,0.42960061194274374,2023-09-01 17:53:32,2023-09-02 08:38:19,14.75,9,2023
2712.kml,,30.9776362,81.2858421,4667.8,0.4323303471254125,2024-05-27 18:49:02,2024-05-28 05:41:14,10.87,5,2024
